base,modelo,feature,nativa,permutation,permutation_std,tipo,disponibilidade,coef_padronizado,vip
pilgrims_close,Random Forest,Low_lag_5,0.20051029571764856,0.8409428207876083,0.016718242916130104,externa,defasada,,
pilgrims_close,Random Forest,Volume_lag_5,0.001067613314310766,-0.0009951343994392236,0.0007372391389821821,externa,defasada,,
pilgrims_close,PLS,lag_5,,0.6028380473185041,0.008316134800613276,interna,-,0.6877994481130183,1.505645335634313
pilgrims_close,PLS,lag_6,,0.5896799995884403,0.008290900089669272,interna,-,0.6802955183803291,1.5041866547773148
pilgrims_close,PLS,lag_7,,0.5809802900532197,0.007941444596477082,interna,-,0.6755040129453244,1.502885864452283
pilgrims_close,PLS,lag_8,,0.5763057072185801,0.007789787825776696,interna,-,0.6724786934098503,1.5016835824452004
pilgrims_close,PLS,media_4,,0.5878144073069762,0.00805286895471811,interna,-,0.679360039296557,1.504346370944206
pilgrims_close,PLS,desvio_4,,0.005711165038009081,0.0015723133475338122,interna,-,-0.045443327053900855,0.9166792469073893
pilgrims_close,PLS,media_8,,0.5824951263902045,0.00795151196705242,interna,-,0.6762453979687467,1.5028681985213557
pilgrims_close,PLS,desvio_8,,0.0028502103429479675,0.0009287422127480182,interna,-,-0.02968894120940924,1.020728113203894
pilgrims_close,PLS,media_12,,0.5791085789324859,0.007872687831797873,interna,-,0.6742628750849635,1.5013727610993122
pilgrims_close,PLS,desvio_12,,0.005405966641110471,0.001540030636426254,interna,-,0.047918315841627486,1.0495003130890268
pilgrims_close,PLS,delta_nivel,,0.045438329147116804,0.0022817155218783805,interna,-,0.12253643385904185,0.13711103699802563
pilgrims_close,PLS,mes,,-0.0008443162594896303,0.0004935531617170984,interna,-,0.024836707322367292,0.08444773024461226
pilgrims_close,PLS,dia_semana,,6.822484759516634e-05,0.0001134491253330186,interna,-,0.00434872356727101,0.009938616009859616
pilgrims_close,PLS,semana,,-0.0008516173605256694,0.0003949069308956017,interna,-,0.021785872875017532,0.08582812627347444
pilgrims_close,PLS,mes_sin,,0.0020156792232292275,0.00030320234837889315,interna,-,0.015626056162072854,0.10399099300416721
pilgrims_close,PLS,mes_cos,,6.4960529404411995e-06,0.00044578355104501224,interna,-,-0.026274877131432804,0.08532408057022817
pilgrims_close,PLS,dia_semana_sin,,-9.527263579789392e-06,8.530589776843442e-05,interna,-,-0.0043254379396105,0.010925200582750235
pilgrims_close,PLS,dia_semana_cos,,4.692901446181619e-05,7.617905737893066e-05,interna,-,-0.0032224490238232416,0.00886887452833945
pilgrims_close,PLS,semana_sin,,0.002365542777230489,0.0003718538341374909,interna,-,0.019687378090229014,0.10860647722983553
pilgrims_close,PLS,semana_cos,,-0.0004531923041803276,0.0003424359654758096,interna,-,-0.020082156453139804,0.07465082089948875
pilgrims_close,PLS,Low_lag_5,,0.6051006092317751,0.008267239547555363,externa,defasada,0.6902317008707737,1.5054153661178586
pilgrims_close,PLS,Volume_lag_5,,0.020483702145609427,0.0035273296783936633,externa,defasada,0.07936381858795752,0.9284258323221163
microsoft_open,Random Forest,lag_1,0.11520268546417983,0.014422665081156616,0.0020916922766465043,interna,-,,
microsoft_open,Random Forest,lag_2,0.032158097319907,0.009198552700821771,0.0008132281903091024,interna,-,,
microsoft_open,Random Forest,lag_3,0.09212034846595613,0.0003503482209112008,0.0008836063798858037,interna,-,,
microsoft_open,Random Forest,lag_4,0.0972424489042915,-0.00459730358475241,0.0006995958237234729,interna,-,,
microsoft_open,Random Forest,lag_30,0.08473827397558024,-0.0005367263549583612,0.0008524576705022698,interna,-,,
microsoft_open,Random Forest,lag_31,0.009658541824971119,0.0026009850766183008,0.0002872606610225257,interna,-,,
microsoft_open,Random Forest,media_4,0.13463724384648604,0.0038559718238330375,0.0009535526640386341,interna,-,,
microsoft_open,Random Forest,desvio_4,9.496132360865807e-05,-0.00032861592266755226,0.001166485611750886,interna,-,,
microsoft_open,Random Forest,media_8,0.12116610128933339,0.012647835749081082,0.0014300579260581889,interna,-,,
microsoft_open,Random Forest,desvio_8,0.00012283750542692112,-0.010535120306957423,0.001403861863911779,interna,-,,
microsoft_open,Random Forest,media_12,0.16067844473399465,0.003678203845579553,0.00043791300335592774,interna,-,,
microsoft_open,Random Forest,desvio_12,0.00039960197494980353,0.0091934887145797,0.0008973338490302383,interna,-,,
microsoft_open,Random Forest,delta_nivel,0.0033185321476124014,-0.0005353357102091394,0.003046910595684647,interna,-,,
microsoft_open,Random Forest,mes,0.0010264158826894796,-0.005437199501516688,0.0026823042703201603,interna,-,,
microsoft_open,Random Forest,dia_semana,2.3573832550505573e-05,-0.00048578407571504557,0.0009182477824108917,interna,-,,
microsoft_open,Random Forest,semana,0.0014426393173437191,-0.011890415946126609,0.001920197547351886,interna,-,,
microsoft_open,Random Forest,mes_sin,0.0004278384766347471,0.002622338317833872,0.002513335261285818,interna,-,,
microsoft_open,Random Forest,mes_cos,0.001691700968433644,-0.0013001038582849845,0.0002421063383052012,interna,-,,
microsoft_open,Random Forest,dia_semana_sin,1.3557859497004456e-05,0.0001032888436515833,0.00026936812182911063,interna,-,,
microsoft_open,Random Forest,dia_semana_cos,1.2477331918599215e-05,-0.0001420434630167833,0.0007704014372204646,interna,-,,
microsoft_open,Random Forest,semana_sin,0.002270735301893911,-0.013186196388924109,0.005560491837489691,interna,-,,
microsoft_open,Random Forest,semana_cos,0.008342758461384308,-0.0021000766293104434,0.004926091007487799,interna,-,,
microsoft_open,Random Forest,close_lag_1,0.13048071533634792,0.06645150999766862,0.003209006724065766,externa,conhecida,,
microsoft_open,Random Forest,volume_lag_1,0.0027294684550085192,0.0003405775847074466,0.0016424637578533088,externa,conhecida,,
microsoft_open,PLS,lag_1,,0.4770046444072479,0.06752730456121622,interna,-,1.357100023807203,1.5174152414187503
microsoft_open,PLS,lag_2,,0.4304455161716908,0.062366580873002425,interna,-,1.3337565207899307,1.5148818916296625
microsoft_open,PLS,lag_3,,0.40442282585911427,0.06444774734402149,interna,-,1.3215777565334494,1.512888868988145
microsoft_open,PLS,lag_4,,0.3845414570839969,0.06594846158658782,interna,-,1.3121728100971952,1.5104702494389264
microsoft_open,PLS,lag_30,,0.24181123228997792,0.06134509018057568,interna,-,1.2111165876869683,1.4728120028473213
microsoft_open,PLS,lag_31,,0.23303312849886176,0.05557535991096035,interna,-,1.2055742732712147,1.4714997977902509
microsoft_open,PLS,media_4,,0.42084443369356644,0.06518418167208428,interna,-,1.3326923134914774,1.515595316747368
microsoft_open,PLS,desvio_4,,-0.0020907216213946977,0.003912822907666381,interna,-,0.0543133697748542,0.2948218230842102
microsoft_open,PLS,media_8,,0.41000379864186237,0.06358948180695445,interna,-,1.3242041874988586,1.5128320443395984
microsoft_open,PLS,desvio_8,,-0.004434135630279168,0.0014311561293716944,interna,-,0.021006753894814996,0.3590873833344181
microsoft_open,PLS,media_12,,0.4129478566445025,0.06372842180363578,interna,-,1.3231885415297238,1.5107407803028825
microsoft_open,PLS,desvio_12,,-0.019401682224672933,0.003709938094177926,interna,-,0.08611819865364577,0.40526190337419393
microsoft_open,PLS,delta_nivel,,0.20038024627639786,0.04532903886147417,interna,-,0.4140789543374386,0.3913752293884215
microsoft_open,PLS,mes,,-0.004016546912296049,0.0017361620532969273,interna,-,0.028185598433568174,0.14804708395110264
microsoft_open,PLS,dia_semana,,-0.00024346453928321133,0.0006977908902571783,interna,-,-0.017283496072272187,0.03537277835643329
microsoft_open,PLS,semana,,-0.004786318081896113,0.0020006189177359593,interna,-,0.03363838458504126,0.1526651208118289
microsoft_open,PLS,mes_sin,,-0.0038240450366203273,0.0018330321788048048,interna,-,-0.0308995523248195,0.2598570769499592
microsoft_open,PLS,mes_cos,,-0.014821454619735053,0.00265944747377824,interna,-,0.06926623154963983,0.4906390848112917
microsoft_open,PLS,dia_semana_sin,,0.0002201495392245789,0.0009757342902853517,interna,-,-0.023431611131507858,0.010483278969200047
microsoft_open,PLS,dia_semana_cos,,-2.8137691260510243e-05,0.0006461981168280626,interna,-,0.015861804327903673,0.03219600329580075
microsoft_open,PLS,semana_sin,,-0.0016478383903059557,0.0005139838877445434,interna,-,-0.008755502391251875,0.17760979908835733
microsoft_open,PLS,semana_cos,,-0.008372037279648059,0.0015347976533748374,interna,-,0.04124391284858706,0.5120330479304996
