params,aic,bic,mae_validacao,bic_norm,mae_norm,criterio,valor,base,modelo
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,0.5221602789088561,pilgrims_close,Random Forest
"{'n_estimators': 300, 'max_depth': 12, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,0.5233030502956745,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 0.5, 'min_samples_split': 2, 'min_samples_leaf': 2}",,,,,,MAE validacao,0.5528167703803727,pilgrims_close,Random Forest
"{'n_estimators': 300, 'max_depth': 6, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,0.5534313610026493,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 2}",,,,,,MAE validacao,0.583314648479492,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,0.5837041460641288,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,0.5843672680206209,pilgrims_close,Random Forest
"{'n_estimators': 300, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,0.5845908347291002,pilgrims_close,Random Forest
{'n_components': 14},,,,,,MAE validacao,0.4970043303075972,pilgrims_close,PLS
{'n_components': 13},,,,,,MAE validacao,0.4971467089976694,pilgrims_close,PLS
{'n_components': 15},,,,,,MAE validacao,0.49790606477841964,pilgrims_close,PLS
{'n_components': 12},,,,,,MAE validacao,0.5002630346330583,pilgrims_close,PLS
{'n_components': 11},,,,,,MAE validacao,0.504521910961431,pilgrims_close,PLS
{'n_components': 10},,,,,,MAE validacao,0.5326384442673852,pilgrims_close,PLS
{'n_components': 9},,,,,,MAE validacao,0.5365145447125493,pilgrims_close,PLS
{'n_components': 8},,,,,,MAE validacao,0.556009236894325,pilgrims_close,PLS
{'n_components': 6},,,,,,MAE validacao,0.568657570441073,pilgrims_close,PLS
{'n_components': 4},,,,,,MAE validacao,0.5702511847698186,pilgrims_close,PLS
{'n_components': 5},,,,,,MAE validacao,0.5725517947683807,pilgrims_close,PLS
{'n_components': 7},,,,,,MAE validacao,0.5741376862821134,pilgrims_close,PLS
{'n_components': 2},,,,,,MAE validacao,0.5859510637627795,pilgrims_close,PLS
{'n_components': 3},,,,,,MAE validacao,0.5863843858262459,pilgrims_close,PLS
{'n_components': 1},,,,,,MAE validacao,1.0917460770500682,pilgrims_close,PLS
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 2, 30)}",2145.549272881184,2170.068009169107,inf,0.0,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",2145.947761667479,2170.471515517288,inf,0.033932885829563046,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 2, 30)}",2146.075882110218,2175.4923385331695,inf,0.45615923973044725,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (1, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",2147.1786218486723,2176.6011053941797,inf,0.54940104243285,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 2, 30)}",2147.4882031901993,2176.910686735707,inf,0.5754353002936141,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 2, 30)}",2147.68117499962,2177.1036585451275,inf,0.5916632739225635,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 0, 30)}",2148.355940034895,2177.784444654666,inf,0.6489140146691696,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 1, 30)}",2148.804983999022,2178.233488618793,inf,0.6866763885100543,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 2, 30)}",2146.4956138886178,2180.8077743352137,inf,0.9031610701061318,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'order': (2, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",2147.6401165783163,2181.9593157384265,inf,1.0,,BIC+MAE normalizados,,microsoft_open,SARIMAX
"{'trend': 'add', 'seasonal': 'add', 'damped': True}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'trend': 'add', 'seasonal': 'add', 'damped': False}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'trend': 'add', 'seasonal': 'mul', 'damped': True}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'trend': 'add', 'seasonal': 'mul', 'damped': False}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'trend': 'add', 'seasonal': None, 'damped': True}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'trend': 'add', 'seasonal': None, 'damped': False}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'trend': None, 'seasonal': 'add', 'damped': False}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'trend': None, 'seasonal': 'mul', 'damped': False}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'trend': None, 'seasonal': None, 'damped': False}",,,,,,MAE validacao,inf,microsoft_open,Holt-Winters
"{'n_estimators': 300, 'max_depth': 12, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.2252418157675515,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.2377155173484042,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 0.5, 'min_samples_split': 2, 'min_samples_leaf': 2}",,,,,,MAE validacao,1.3704055871346152,microsoft_open,Random Forest
"{'n_estimators': 300, 'max_depth': 6, 'max_features': 0.5, 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,1.3896116748512815,microsoft_open,Random Forest
"{'n_estimators': 300, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.6801128678364317,microsoft_open,Random Forest
"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.7733298137911495,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.7917262159653997,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.792207251955475,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 2}",,,,,,MAE validacao,1.8582820096406982,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,1.8801554741915814,microsoft_open,Random Forest
"{'n_estimators': 300, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.8931103743699098,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,1.8969367223517148,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,1.9032269461767366,microsoft_open,Random Forest
"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,1.9262466108706098,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 2}",,,,,,MAE validacao,2.024904995778264,microsoft_open,Random Forest
"{'n_estimators': 600, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,2.027801988711063,microsoft_open,Random Forest
{'n_components': 15},,,,,,MAE validacao,0.7472160711779021,microsoft_open,PLS
{'n_components': 14},,,,,,MAE validacao,0.7979988529133384,microsoft_open,PLS
{'n_components': 13},,,,,,MAE validacao,0.8128130833788078,microsoft_open,PLS
{'n_components': 12},,,,,,MAE validacao,0.9117117404490988,microsoft_open,PLS
{'n_components': 11},,,,,,MAE validacao,1.0510064662638787,microsoft_open,PLS
{'n_components': 8},,,,,,MAE validacao,1.4139897860122115,microsoft_open,PLS
{'n_components': 10},,,,,,MAE validacao,1.4276378993850178,microsoft_open,PLS
{'n_components': 9},,,,,,MAE validacao,1.4341805954963296,microsoft_open,PLS
{'n_components': 7},,,,,,MAE validacao,1.612619816526517,microsoft_open,PLS
{'n_components': 4},,,,,,MAE validacao,1.6410683394914547,microsoft_open,PLS
{'n_components': 3},,,,,,MAE validacao,1.6494678726863408,microsoft_open,PLS
{'n_components': 5},,,,,,MAE validacao,1.6549733321908144,microsoft_open,PLS
{'n_components': 6},,,,,,MAE validacao,1.6579863412522993,microsoft_open,PLS
{'n_components': 2},,,,,,MAE validacao,1.7893293145220122,microsoft_open,PLS
{'n_components': 1},,,,,,MAE validacao,2.9129423596673236,microsoft_open,PLS
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 2, 12)}",27723.36372223682,27754.824800084814,4100.25550123328,0.0,0.3694958775550081,BIC+MAE normalizados,0.3694958775550081,sales_profit,SARIMAX
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 2, 12)}",27722.552895320838,27759.257486143495,4093.7404359080983,0.2115857969321813,0.2662080850920867,BIC+MAE normalizados,0.477793882024268,sales_profit,SARIMAX
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 2, 12)}",27722.093404447896,27758.797995270554,4095.2017141010733,0.1896528783254205,0.2893747290462507,BIC+MAE normalizados,0.4790276073716712,sales_profit,SARIMAX
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 2, 12)}",27720.923274046403,27762.871377843727,4098.094303249959,0.38408801010441634,0.3352329258222427,BIC+MAE normalizados,0.719320935926659,sales_profit,SARIMAX
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 2, 12)}",27743.29031897754,27774.75568407116,4076.9488768757087,0.9513626537018129,0.0,BIC+MAE normalizados,0.9513626537018129,sales_profit,SARIMAX
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 2, 12)}",27726.775011605947,27768.72311540327,4098.1860826457,0.6634095182336359,0.3366879674383234,BIC+MAE normalizados,1.0000974856719593,sales_profit,SARIMAX
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 2, 12)}",27743.85145266165,27770.072590239666,4094.956094119075,0.7278241203324038,0.2854807472580169,BIC+MAE normalizados,1.0133048675904208,sales_profit,SARIMAX
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 2, 12)}",27726.785050376013,27768.733154173337,4114.49716176418,0.6638886997358873,0.5952786753970457,BIC+MAE normalizados,1.2591673751329329,sales_profit,SARIMAX
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 2, 12)}",27725.333078751406,27772.524695523396,4103.180339229864,0.8448706794054424,0.4158653373992974,BIC+MAE normalizados,1.2607360168047397,sales_profit,SARIMAX
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 2, 12)}",27728.583011339804,27775.774628111794,4140.025695247251,1.0,1.0,BIC+MAE normalizados,2.0,sales_profit,SARIMAX
"{'trend': 'add', 'seasonal': None, 'damped': True}",,,,,,MAE validacao,4038.199014798884,sales_profit,Holt-Winters
"{'trend': None, 'seasonal': None, 'damped': False}",,,,,,MAE validacao,4081.1678875617717,sales_profit,Holt-Winters
"{'trend': None, 'seasonal': 'add', 'damped': False}",,,,,,MAE validacao,4131.398677147702,sales_profit,Holt-Winters
"{'trend': 'add', 'seasonal': None, 'damped': False}",,,,,,MAE validacao,4157.754781133076,sales_profit,Holt-Winters
"{'trend': 'add', 'seasonal': 'add', 'damped': True}",,,,,,MAE validacao,4326.911772402215,sales_profit,Holt-Winters
"{'trend': 'add', 'seasonal': 'add', 'damped': False}",,,,,,MAE validacao,4403.258794530927,sales_profit,Holt-Winters
"{'trend': 'add', 'seasonal': 'mul', 'damped': False}",,,,,,MAE validacao,inf,sales_profit,Holt-Winters
"{'trend': 'add', 'seasonal': 'mul', 'damped': True}",,,,,,MAE validacao,inf,sales_profit,Holt-Winters
"{'trend': None, 'seasonal': 'mul', 'damped': False}",,,,,,MAE validacao,inf,sales_profit,Holt-Winters
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,4079.1004465409474,sales_profit,Random Forest
