Date,target_open,close_lag_1,volume_lag_1
2017-07-03,69.33,68.93,24161068
2017-07-05,68.26,68.17,16165538
2017-07-06,68.27,69.08,21176272
2017-07-07,68.7,68.57,21117572
2017-07-10,69.46,69.46,16878317
2017-07-11,70.0,69.98,15014503
2017-07-12,70.69,69.99,17460022
2017-07-13,71.5,71.15,17750925
2017-07-14,72.24,71.77,20269816
2017-07-17,72.8,72.78,25868086
2017-07-18,73.09,73.35,21803907
2017-07-19,73.5,73.3,26435296
2017-07-20,74.18,73.86,22416222
2017-07-21,73.45,74.22,42361025
2017-07-24,73.53,73.79,46717082
2017-07-25,73.8,73.6,21394826
2017-07-26,74.34,74.19,22018681
2017-07-27,73.76,74.05,16252233
2017-07-28,72.67,73.16,36844220
2017-07-31,73.3,73.04,18306680
2017-08-01,73.1,72.7,23600054
2017-08-02,72.55,72.58,20823890
2017-08-03,72.19,72.26,26499158
2017-08-04,72.4,72.15,18214424
2017-08-07,72.8,72.68,22578952
2017-08-08,72.09,72.4,18705681
2017-08-09,72.25,72.79,22044587
2017-08-10,71.9,72.47,22213410
2017-08-11,71.61,71.41,24734461
2017-08-14,73.06,72.5,21443675
2017-08-15,73.59,73.59,20096592
2017-08-16,73.34,73.22,19181402
2017-08-17,73.58,73.65,18150402
2017-08-18,72.27,72.4,22977519
2017-08-21,72.47,72.49,18761491
2017-08-22,72.35,72.15,17734767
2017-08-23,72.96,73.16,14343674
2017-08-24,72.74,72.72,13766507
2017-08-25,72.86,72.69,17098282
2017-08-28,73.06,72.82,12794301
2017-08-29,72.25,72.83,14569715
2017-08-30,73.01,73.05,11478382
2017-08-31,74.03,74.01,16897801
2017-09-01,74.71,74.77,27652811
2017-09-05,73.34,73.94,21736161
2017-09-06,73.74,73.61,22242384
2017-09-07,73.68,73.4,16535785
2017-09-08,74.33,74.34,17471200
2017-09-11,74.31,73.98,14703816
2017-09-12,74.76,74.76,17910383
2017-09-13,74.93,74.68,14394850
2017-09-14,75.0,75.21,13380802
2017-09-15,74.83,74.77,15733914
2017-09-18,75.23,75.31,38578441
2017-09-19,75.21,75.16,23306959
2017-09-20,75.35,75.44,16093344
2017-09-21,75.11,74.94,21587878
2017-09-22,73.99,74.21,19186140
2017-09-25,74.09,74.41,14111365
2017-09-26,73.67,73.26,24149163
2017-09-27,73.55,73.26,18019577
2017-09-28,73.54,73.85,19565135
2017-09-29,73.94,73.87,10883787
2017-10-02,74.71,74.49,17079114
2017-10-03,74.67,74.61,15304762
2017-10-04,74.0,74.26,12190403
2017-10-05,75.22,74.69,13317681
2017-10-06,75.67,75.97,21195261
2017-10-09,75.97,76.0,13959814
2017-10-10,76.33,76.29,11386502
2017-10-11,76.36,76.29,13944545
2017-10-12,76.49,76.42,15388898
2017-10-13,77.59,77.12,16876538
2017-10-16,77.42,77.49,15335742
2017-10-17,77.47,77.65,12380093
2017-10-18,77.67,77.59,16823989
2017-10-19,77.57,77.61,13300701
2017-10-20,78.32,77.91,15092758
2017-10-23,78.99,78.81,22866426
